opponent,wins,losses,matches,eed,wr
Titan,249,25,274,399.3,90.88%
Ranger,374,406,780,-14.26,47.95%
Aegis,438,354,792,36.99,55.3%
Cosmic,725,1401,2126,-114.44,34.1%
